Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints_x,Int,Fumbles,FumblesLost,FantasyPoints_y,PredictedFantasyPoints
94,MatthewStafford,DET,QB,31.0,8.0,8.0,0.0,0.0,2499.0,19.0,291.0,66.0,0.0,20.0,0.0,0.0,166.55999999999997,5.0,5.0,3.0,261.0,177.96951
95,DevontaFreeman,ATL,RB,27.0,14.0,14.0,70.0,59.0,0.0,0.0,0.0,656.0,2.0,184.0,410.0,4.0,197.6,0.0,3.0,2.0,29.0,107.26687
96,MelvinGordon,LAC,RB,26.0,12.0,11.0,55.0,42.0,0.0,0.0,0.0,612.0,8.0,162.0,296.0,1.0,180.8,0.0,4.0,3.0,166.0,126.32335
98,AdrianPeterson,WAS,RB,34.0,15.0,15.0,23.0,17.0,0.0,0.0,0.0,898.0,5.0,211.0,142.0,0.0,147.0,0.0,3.0,2.0,113.0,89.24593
99,DKMetcalf,SEA,WR,22.0,16.0,15.0,100.0,58.0,0.0,0.0,0.0,11.0,0.0,2.0,900.0,7.0,185.1,0.0,3.0,3.0,188.0,142.74258
100,JamesWhite,NWE,RB,27.0,15.0,1.0,95.0,72.0,35.0,0.0,1.0,263.0,1.0,67.0,645.0,5.0,198.2,0.0,1.0,1.0,68.0,98.93328
102,EmmanuelSanders,2TM,WR,32.0,17.0,16.0,97.0,66.0,35.0,1.0,1.0,0.0,0.0,0.0,869.0,5.0,188.3,0.0,0.0,0.0,104.0,86.18398
103,LataviusMurray,NOR,RB,29.0,16.0,8.0,43.0,34.0,0.0,0.0,0.0,637.0,5.0,146.0,235.0,1.0,157.2,0.0,0.0,0.0,113.0,70.86145
104,DariusSlayton,NYG,WR,22.0,14.0,9.0,84.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,8.0,170.0,0.0,0.0,0.0,91.0,120.27146
105,JamisonCrowder,NYJ,WR,26.0,16.0,12.0,122.0,78.0,0.0,0.0,0.0,4.0,0.0,1.0,833.0,6.0,197.7,0.0,0.0,0.0,113.0,107.83465
106,DevinSingletary,BUF,RB,22.0,12.0,8.0,41.0,29.0,0.0,0.0,0.0,775.0,2.0,151.0,194.0,2.0,147.9,0.0,4.0,1.0,106.0,100.22427
107,ColeBeasley,BUF,WR,30.0,15.0,10.0,106.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,6.0,180.8,0.0,0.0,0.0,126.0,89.65535
108,CurtisSamuel,CAR,WR,23.0,16.0,15.0,105.0,54.0,0.0,0.0,0.0,130.0,1.0,19.0,627.0,6.0,171.7,0.0,0.0,0.0,135.0,106.59336
109,TevinColeman,SFO,RB,26.0,14.0,11.0,30.0,21.0,0.0,0.0,0.0,544.0,6.0,137.0,180.0,1.0,135.4,0.0,0.0,0.0,9.0,63.144047
110,JamesConner,PIT,RB,24.0,10.0,10.0,38.0,34.0,0.0,0.0,0.0,464.0,4.0,116.0,251.0,3.0,145.5,0.0,1.0,1.0,130.0,84.26462
111,MikeWilliams,LAC,WR,25.0,15.0,15.0,90.0,49.0,0.0,0.0,0.0,2.0,0.0,1.0,1001.0,2.0,161.29999999999995,0.0,0.0,0.0,106.0,90.20991
